event_id,team_id,status,ignore
4,1,e,Mens 4x4
5,2,e,Mens BBall
1,4,e,Womens 800m
3,0,e,Womens 4x1
2,5,e,Mens 100m
2,6,e,
2,7,e,
2,8,e,
2,9,e,
6,10,e,2016 Rio Mens 400m
6,11,e,
6,12,e,
6,13,e,
6,14,e,
6,15,e,
6,16,e,
6,17,e,
7,18,e,2012 London Mens 400m
7,19,e,
7,20,e,
7,21,e,
7,22,e,
7,23,e,
7,24,e,
7,25,e,
8,26,e,2008 Beijing Mens 400m
8,27,e,
8,28,e,
8,29,e,
8,30,e,
8,31,e,
8,32,e,
8,33,e,
9,34,e,2004 Athens Mens 400m
9,35,e,
9,36,e,
9,37,e,
9,38,e,
9,39,e,
9,40,e,
9,41,e,
10,42,e,2004 Athens Mens 800m
10,43,e,
10,44,e,
10,45,e,
10,46,e,
10,47,e,
10,48,e,
10,49,e,
11,50,e,2008 Beijing Mens 800m
11,51,e,
11,52,e,
11,53,e,
11,54,e,
11,55,e,
11,56,e,
11,57,e,