olympic_id,event_id,team_id,participant_id,position,medal_id,ignore
0,9,34,6,1,1, 2004 Mens 400m 
0,9,35,71,2,2,
0,9,36,72,3,3,
0,9,37,73,4,,
0,9,38,74,5,,
0,9,39,75,6,,
0,9,40,60,7,,
0,9,41,76,8,,
1,8,26,16,1,1,2008 Mens 400m
1,8,27,6,2,2,
1,8,28,63,3,3,
1,8,29,47,4,,
1,8,30,60,5,,
1,8,31,61,6,,
1,8,32,62,7,,
1,8,33,63,8,,
2,7,18,31,1,1,2012 Mens 400m
2,7,19,45,2,2,
2,7,20,46,3,3,
2,7,21,47,4,,
2,7,22,48,5,,
2,7,23,49,6,,
2,7,24,50,7,,
2,7,25,51,8,,
3,6,10,30,1,1,2016 Mens 400m
3,6,11,31,2,2,
3,6,12,16,3,3,
3,6,13,32,4,,
3,6,14,33,5,,
3,6,15,34,6,,
3,6,16,35,7,,
3,6,17,36,8,,
0,10,42,83,1,1,2004 Mens 800m
0,10,43,84,2,2,
0,10,44,85,3,3,
0,10,45,86,4,,
0,10,46,87,5,,
0,10,47,88,6,,
0,10,48,89,7,,
0,10,49,90,8,,
1,11,50,99,1,1,2008 Mens 800m
1,11,51,84,2,2,
1,11,52,100,3,3,
1,11,53,101,4,,
1,11,54,102,5,,
1,11,55,103,6,,
1,11,56,104,7,,
1,11,57,105,8,,
1,1,4,5,1,1,
2,2,5,0,1,1,2012 Mens 100m
2,2,6,1,2,2,
2,2,7,2,3,3,
2,2,8,3,4,,
2,2,9,4,5,,
3,5,2,7,1,1,2012 Mens Basketball
3,5,2,8,1,1,
3,5,2,9,1,1,
3,5,2,10,1,1,
3,5,2,11,1,1,
3,3,0,12,1,1,2016 Womens 4x100
3,3,0,13,1,1,
3,3,0,14,1,1,
3,3,0,15,1,1,
3,4,1,16,1,1,2016 Mens 4x400
3,4,1,17,1,1,
3,4,1,18,1,1,
3,4,1,19,1,1,